İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
01 Aralık 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2014,151.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1598 cc,125 hp,6.7 lt,Belirtilmemiş,Tramer  1.020 TL,200 km/s,865.000 TL
01 Aralık 2023,Volkswagen,Jetta,1.6 TDi Trendline,2011,251.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Gri (Gümüş),1598 cc,105 hp,4.7 lt,Belirtilmemiş,Tramer  847 TL,190 km/s,535.000 TL
01 Aralık 2023,Opel,Astra,1.4 Classic,2006,91.219 km,Düz,Benzin,Sedan,Gri,1364 cc,90 hp,7.2 lt,Belirtilmemiş,Tramer tutarı yok,180 km/s,395.000 TL
01 Aralık 2023,Renault,Fluence,1.5 dCi Icon,2014,230.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,4.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,720.000 TL
01 Aralık 2023,Chevrolet,Captiva,2.0 D LT High,2011,138.140 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,8.7 lt,Belirtilmemiş,Tramer  2.000 TL,180 km/s,675.000 TL
01 Aralık 2023,BMW,3 Serisi,316i M Sport,2014,155.500 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,136 hp,5.8 lt,Belirtilmemiş,Tramer tutarı yok,210 km/s,1.325.000 TL
01 Aralık 2023,Fiat,Egea Cross,1.4 Fire Street,2021,16.000 km,Düz,Benzin,Crossover,Turuncu,1368 cc,95 hp,6.8 lt,Tamamı orjinal,Tramer tutarı yok,174 km/s,765.000 TL
01 Aralık 2023,Mercedes - Benz,EQE,350 4Matic AMG,2023,6.001 km,Otomatik,Elektrik,Sedan,Siyah,,292 hp,,Tamamı orjinal,Tramer tutarı yok,210 km/s,4.189.900 TL
01 Aralık 2023,Volkswagen,VW CC,1.4 TSi,2015,119.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1395 cc,150 hp,5.6 lt,4 boyalı,Tramer  9.647 TL,218 km/s,1.155.000 TL
01 Aralık 2023,Volkswagen,Polo,1.2 TSi Comfortline,2015,186.000 km,Düz,Benzin,Hatchback/5,Beyaz,1197 cc,90 hp,4.7 lt,6 boyalı,Tramer  16.000 TL,184 km/s,649.500 TL
01 Aralık 2023,Renault,Clio,1.0 TCe Touch,2023,6.001 km,Düz,Benzin,Hatchback/5,Mavi (metalik),999 cc,90 hp,5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,178 km/s,765.000 TL
01 Aralık 2023,Peugeot,2008,1.6 BlueHDI Allure,2018,64.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1560 cc,102 hp,3.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,180 km/s,810.000 TL
01 Aralık 2023,Renault,R 9,1.4 Broadway GTE,1994,267.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1390 cc,83 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,168 km/s,170.000 TL
01 Aralık 2023,Volkswagen,Caravelle,2.0 TDI SCR BMT Comfortline,2021,33.000 km,Otomatik,Dizel,Minibüs,Siyah,1968 cm3,150 hp,,Tamamı orjinal,Tramer tutarı yok,,1.649.750 TL
01 Aralık 2023,Toyota,Corolla,1.8 Hybrid Dream,2020,129.000 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,3.5 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,834.900 TL
01 Aralık 2023,Skoda,SuperB,1.6 TDI Prestige,2014,247.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,4.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,193 km/s,905.000 TL
01 Aralık 2023,Lada,Samara,1.5,1990,160.000 km,Düz,LPG & Benzin,Hatchback/3,Lacivert,1500 cc,75 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,87.000 TL
01 Aralık 2023,Opel,Astra,1.6 Edition,2012,112.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1598 cc,115 hp,6.6 lt,3 boyalı,Tramer  4.200 TL,185 km/s,555.000 TL
01 Aralık 2023,Renault,Megane,1.3 TCe Joy,2021,87.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.3 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,205 km/s,879.000 TL
01 Aralık 2023,Volvo,S60,1.6 D Premium,2014,154.000 km,Otomatik,Dizel,Sedan,Beyaz,1401/1600 cm3,101/125 HP,,Tamamı orjinal,Tramer tutarı yok,,1.089.750 TL
01 Aralık 2023,Ford,Tourneo Connect,75PS,2009,156.000 km,Düz,Dizel,Camlı Van,Gri (metalik),1800 cm3,75 hp,,Belirtilmemiş,Tramer tutarı yok,,448.000 TL
01 Aralık 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,30.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,705.000 TL
01 Aralık 2023,Hyundai,i20,1.4 CRDi Jump,2013,232.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1396 cc,90 hp,4.3 lt,Belirtilmemiş,Tramer  400 TL,174 km/s,510.000 TL
01 Aralık 2023,BMW,X5,25d xDrive,2016,82.000 km,Otomatik,Dizel,Crossover,Beyaz,1995 cc,231 hp,5.6 lt,Tamamı orjinal,Tramer tutarı yok,220 km/s,3.100.000 TL
01 Aralık 2023,Mercedes - Benz,C,C 200 d BlueTEC Style,2016,95.500 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,4.2 lt,Belirtilmemiş,Tramer tutarı yok,218 km/s,1.380.000 TL
01 Aralık 2023,Fiat,Egea,1.3 Multijet Easy,2020,95.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1248 cc,95 hp,4.1 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,183 km/s,602.500 TL
01 Aralık 2023,Fiat,Egea,1.6 Multijet Easy,2020,122.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,3.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,200 km/s,729.000 TL
01 Aralık 2023,Seat,Leon,1.6 TDI Style,2018,150.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,4.1 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,197 km/s,760.000 TL
01 Aralık 2023,Peugeot,301,1.6 HDi Access,2017,186.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,93 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,180 km/s,510.000 TL
01 Aralık 2023,Peugeot,2008,1.5 BlueHDI Active,2022,15.770 km,Otomatik,Dizel,Crossover,Siyah,1499 cc,132 hp,3.8 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,1.275.000 TL
01 Aralık 2023,Hyundai,i20,1.2 MPI Style,2015,36.100 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Turuncu,1248 cc,84 hp,5.1 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,170 km/s,715.000 TL
01 Aralık 2023,Audi,A6,A6 Sedan 2.0 TDI,2009,198.530 km,Otomatik,Dizel,Sedan. 5 Koltuk,Siyah,1968 cc,136 hp,5.8 lt,Tamamı orjinal,Tramer  3.960 TL,204 km/s,975.000 TL
01 Aralık 2023,Opel,Corsa,1.2 Turbo Ultimate,2021,10.530 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Mavi,1199 cc,130 hp,4.5 lt,2 boyalı,Tramer tutarı yok,208 km/s,1.065.000 TL
01 Aralık 2023,Volkswagen,Polo,1.4 TDi Comfortline,2017,103.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,3.4 lt,4 boyalı,Tramer tutarı Belirtilmemiş,184 km/s,685.750 TL
01 Aralık 2023,Kia,Sportage,1.6 GDI Concept Plus,2017,1.090.000 km,Otomatik,LPG & Benzin,Crossover,Siyah,1591 cc,132 hp,7.3 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,170 km/s,1.090.000 TL
01 Aralık 2023,Hyundai,Accent Era,1.5 CRDi Select,2011,220.000 km,Otomatik,Dizel,Sedan,Beyaz,1493 cc,110 hp,5.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,182 km/s,392.500 TL
01 Aralık 2023,Volkswagen,Transporter,2.5 TDI City Van,2001,244.000 km,Düz,Dizel,Yarım Camlı Van,Bordo,2461 cc,102 hp,,9 boyalı,Tramer tutarı Belirtilmemiş,157 km/s,390.000 TL
01 Aralık 2023,Fiat,Egea,1.6 Multijet Mirror,2020,54.000 km,Yarı Otomatik,Dizel,Station wagon,Mavi,1598 cc,120 hp,3.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,200 km/s,827.500 TL
01 Aralık 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2017,86.800 km,Yarı Otomatik,LPG & Benzin,Sedan,Füme,1597 cc,125 hp,6.7 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,995.000 TL                                                                                       940.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Combi 1.9 JTD VIP,2004,363.000 km,Düz,Dizel,Camlı Van,Siyah,1910 cc,105 hp,,Belirtilmemiş,Tramer  7.000 TL,,295.000 TL
01 Aralık 2023,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,119.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,4.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,198 km/s,820.000 TL
01 Aralık 2023,Lada,Niva,1.7,1995,186.950 km,Düz,LPG & Benzin,Crossover,Beyaz,1690 cc,80 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,135 km/s,245.000 TL
01 Aralık 2023,Audi,A4,A4 Sedan 1.6,2008,250.000 km,Düz,LPG & Benzin,Sedan,Füme,1595 cc,102 hp,8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,715.000 TL
01 Aralık 2023,Honda,Civic,1.6 i-VTEC LS Elegance,2005,291.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1590 cc,110 hp,6.5 lt,5 boyalı,Tramer  11.000 TL,195 km/s,545.000 TL
01 Aralık 2023,Honda,Civic,1.4 S,1998,212.000 km,Otomatik,Benzin,Hatchback/3,Kırmızı,1396 cc,90 hp,7.7 lt,1 değişen. 10 boyalı,Tramer tutarı yok,170 km/s,450.000 TL
01 Aralık 2023,Honda,Civic,1.6 VTi,1998,242.500 km,Düz,Benzin,Sedan,Füme,1595 cc,160 hp,8.4 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,215 km/s,655.000 TL
01 Aralık 2023,Kia,Sportage,1.6 GDI Premium,2017,56.000 km,Otomatik,Benzin,SUV,Gri,1591 cc,132 hp,7.3 lt,Belirtilmemiş,Tramer tutarı yok,170 km/s,1.100.000 TL
30 Kasım 2023,Mercedes - Benz,C,C 180 BlueEFFICIENCY Selection Plus,2013,113.000 km,Otomatik,Benzin,Sedan,Beyaz,1595 cc,156 hp,6.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,225 km/s,1.450.000 TL
30 Kasım 2023,Ford,Transit,330 M,2013,330.000 km,Düz,Dizel,Panel Van,Beyaz,2198 cc,100 hp,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,138 km/s,565.000 TL
30 Kasım 2023,Volkswagen,Golf,1.6 Primeline,2007,195.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1595 cc,102 hp,8.6 lt,2 değişen. 6 boyalı,Tramer  19.000 TL,177 km/s,529.000 TL
30 Kasım 2023,Renault,Kangoo Multix,1.5 dCi Authentique,2006,190.000 km,Düz,Dizel,Camlı Van,Gri,1461 cc,65 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,146 km/s,442.000 TL
30 Kasım 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Safeline,2012,270.000 km,Düz,Dizel,Camlı Van,Siyah,1248 cc,90 hp,,11 boyalı,Tramer  5.600 TL,156 km/s,370.000 TL
30 Kasım 2023,Fiat,Ducato,13 m³,2016,33.000 km,Otomatik,Dizel,Panel Van,Beyaz,126 cm3,2500 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,,780.000 TL
30 Kasım 2023,Fiat,Linea,1.3 Multijet Active,2013,339.000 km,Düz,Dizel,Sedan,Beyaz,1401/1600 cm3,101/125 HP,,2 değişen. 1 boyalı,Tramer tutarı Belirtilmemiş,,368.000 TL
30 Kasım 2023,Peugeot,301,1.6 HDi Access,2016,119.000 km,Düz,Dizel,Sedan. 5 Koltuk,Füme,1560 cc,93 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,180 km/s,575.000 TL
30 Kasım 2023,Mercedes - Benz,C,C 200 d BlueTEC Fascination,2016,147.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,4.2 lt,1 değişen,Tramer  26.500 TL,218 km/s,1.635.000 TL
30 Kasım 2023,Toyota,Corolla,1.5 Dream,2022,53.500 km,Otomatik,Benzin,Sedan. 5 Koltuk,Beyaz,1490 cc,125 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,955.000 TL
30 Kasım 2023,Ford,Tourneo Connect,90PS,2008,130.000 km,Düz,Dizel,Camlı Van,Lacivert,1800 cm3,100 hp,,2 boyalı,Tramer tutarı Belirtilmemiş,,375.000 TL
30 Kasım 2023,Renault,Symbol,1.5 dCi Authentique,2012,248.000 km,Düz,Dizel,Sedan,Gri,1461 cc,65 hp,4.5 lt,Tamamı orjinal,Tramer tutarı yok,160 km/s,373.000 TL
30 Kasım 2023,Nissan,Qashqai,1.5 dCi UEFA Champions League Edition,2020,126.000 km,Yarı Otomatik,Dizel,Crossover,Gri,1461 cc,115 hp,4 lt,Belirtilmemiş,Tramer tutarı yok,183 km/s,1.320.000 TL
30 Kasım 2023,Renault,Megane,1.5 dCi Touch,2018,211.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,3.8 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,875.000 TL
30 Kasım 2023,Volkswagen,Passat,1.6 TDi BlueMotion R Line,2017,197.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Beyaz,1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer tutarı yok,206 km/s,1.710.000 TL                                                                                       1.550.000 TL
30 Kasım 2023,BMW,5 Serisi,520i Executive,2016,77.000 km,Otomatik,Benzin,Sedan,Bej,1592 cc,170 hp,6.7 lt,Belirtilmemiş,Tramer tutarı yok,226 km/s,1.835.000 TL
30 Kasım 2023,Renault,R 12,Toros,1995,230.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1397 cc,72 hp,,Tamamı orjinal,Tramer tutarı yok,,260.000 TL
30 Kasım 2023,Renault,Kangoo Multix,1.5 dCi Authentique,2012,340.000 km,Düz,Dizel,Camlı Van,Gri (Gümüş),1461 cc,85 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,158 km/s,375.000 TL
30 Kasım 2023,Audi,A4,A4 Sedan 1.6,1997,290.000 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Gri (Gümüş),1595 cc,101 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,,380.000 TL
30 Kasım 2023,Toyota,Auris,1.4 D-4D Comfort Plus,2011,157.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1364 cc,90 hp,5 lt,5 boyalı,Tramer  5.100 TL,175 km/s,630.000 TL
30 Kasım 2023,Nissan,Juke,1.5 dCi Tekna,2012,152.000 km,Düz,Dizel,Crossover,Bordo,1461 cc,110 hp,5.1 lt,1 değişen,Tramer  18.000 TL,175 km/s,588.000 TL
30 Kasım 2023,Hyundai,i20,1.4 MPI Elite Smart,2020,65.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,6.4 lt,3 değişen. 2 boyalı,Tramer tutarı yok,170 km/s,699.000 TL
30 Kasım 2023,Hyundai,Accent Era,1.5 CRDi Start,2010,110.000 km,Düz,Dizel,Sedan,Beyaz,1493 cc,110 hp,4.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,176 km/s,498.000 TL
30 Kasım 2023,Skoda,SuperB,1.6 TDI Style,2018,206.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,4.1 lt,Belirtilmemiş,Tramer tutarı yok,206 km/s,945.000 TL
30 Kasım 2023,Renault,Megane,1.5 dCi Expression,2007,218.000 km,Düz,Dizel,Sedan. 5 Koltuk,Gri,1461 cc,86 hp,4.7 lt,Tamamı orjinal,Tramer  1.755 TL,175 km/s,469.900 TL
30 Kasım 2023,BMW,3 Serisi,320i ED Standart,2013,210.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Siyah,1598 cc,170 hp,5.4 lt,2 değişen,Tramer  9.000 TL,230 km/s,899.000 TL
30 Kasım 2023,Kia,Cerato,1.6 CRDi Concept Plus,2016,105.000 km,Yarı Otomatik,Dizel,Sedan,Kırmızı,1582 cc,136 hp,4.6 lt,Belirtilmemiş,Tramer tutarı yok,190 km/s,860.000 TL
30 Kasım 2023,Ford,Focus,1.6 Trend,2009,138.000 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,100 hp,6.7 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,182 km/s,595.000 TL
30 Kasım 2023,Mercedes - Benz,200,D,1986,390.000 km,Düz,Dizel,Sedan. 5 Koltuk,Mavi,1997 cc,75 hp,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,285.000 TL
30 Kasım 2023,Ford,Tourneo Connect,90PS,2010,230.000 km,Düz,Dizel,Panel Van,Beyaz,1000 cm3,90 hp,,1 değişen. 1 boyalı,Tramer tutarı Belirtilmemiş,,305.000 TL
30 Kasım 2023,Ford,Tourneo Courier,1.6 TDCi Titanium Plus,2016,110.300 km,Düz,Dizel,Camlı Van,Beyaz,1560 cc,95 hp,,Belirtilmemiş,Tramer  2.500 TL,,639.999 TL
30 Kasım 2023,Volkswagen,Jetta,1.2 TSi BlueMotion Trendline,2016,121.000 km,Düz,Benzin,Sedan,Beyaz,1197 cc,105 hp,5 lt,1 boyalı,Tramer tutarı Belirtilmemiş,194 km/s,699.999 TL
30 Kasım 2023,Hyundai,Accent Blue,1.6 CRDI Biz,2012,201.000 km,Otomatik,Dizel,Sedan. 5 Koltuk,Gri (Gümüş),1582 cc,128 hp,5.6 lt,Tamamı orjinal,Tramer  1.250 TL,190 km/s,615.000 TL                                                                                       599.900 TL
30 Kasım 2023,Volkswagen,Transporter,2.5 TDI Camlı Van,2004,162.500 km,Düz,Dizel,Camlı Van,Beyaz,2460 cc,130 hp,,Belirtilmemiş,Tramer  3.235 TL,168 km/s,665.000 TL
30 Kasım 2023,Ford,EcoSport,1.0 EcoBoost Style,2022,34.000 km,Otomatik,Benzin,Crossover,Mavi,998 cc,125 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,854.900 TL
30 Kasım 2023,Ford,Fiesta,1.6 Titanium,2013,67.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5. 5 Koltuk,Beyaz,1596 cc,105 hp,5.9 lt,3 boyalı,Tramer tutarı Belirtilmemiş,184 km/s,687.000 TL
30 Kasım 2023,Renault,Fluence,1.5 dCi Touch,2015,175.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,4.5 lt,2 boyalı,Tramer tutarı Belirtilmemiş,180 km/s,665.000 TL
30 Kasım 2023,Dacia,Duster,1.5 dCi Comfort,2018,140.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,110 hp,4.7 lt,Tamamı orjinal,Tramer tutarı yok,169 km/s,850.000 TL
30 Kasım 2023,Renault,Clio,1.5 dCi Icon,2019,92.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,3.7 lt,Belirtilmemiş,Tramer  20.000 TL,176 km/s,769.950 TL
30 Kasım 2023,Opel,Astra,1.6 CDTI Design,2016,99.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,5.1 lt,2 değişen. 3 boyalı,Tramer  29.000 TL,200 km/s,659.000 TL
30 Kasım 2023,Hyundai,Tucson,1.6 CRDi Style Plus,2019,177.000 km,Yarı Otomatik,Dizel,Crossover,Siyah,1598 cc,136 hp,4.8 lt,1 değişen. 1 boyalı,Tramer  52.000 TL,180 km/s,975.000 TL
30 Kasım 2023,Opel,Astra,1.3 CDTI Enjoy Elegance,2011,231.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1248 cc,90 hp,5.1 lt,1 değişen. 4 boyalı,Tramer  14.000 TL,172 km/s,488.500 TL
30 Kasım 2023,Toyota,Corolla,1.6 Comfort Extra,2011,175.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1598 cc,124 hp,7.1 lt,1 değişen. 4 boyalı,Tramer  18.000 TL,185 km/s,654.500 TL
30 Kasım 2023,Skoda,Kodiaq,2.0 TDI GreenTec Prestige,2017,149.000 km,Yarı Otomatik,Dizel,Crossover,Gri,1968 cc,190 hp,5.7 lt,8 boyalı,Tramer  10.000 TL,210 km/s,1.825.950 TL
30 Kasım 2023,BMW,5 Serisi,520i Executive Plus,2016,197.000 km,Otomatik,Benzin,Sedan,Lacivert,1592 cc,170 hp,6.7 lt,Belirtilmemiş,Tramer tutarı yok,226 km/s,1.565.950 TL
30 Kasım 2023,Citroen,C4,1.6 SX,2006,182.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1587 cc,111 hp,7.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,188 km/s,414.000 TL
30 Kasım 2023,Renault,Megane,1.5 dCi Icon,2017,220.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1461 cc,110 hp,3.8 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,190 km/s,835.000 TL
30 Kasım 2023,Fiat,500 Ailesi,500L 1.3 Mjet Panoramic Edition,2013,117.900 km,Düz,Dizel,MPV,Beyaz,1248 cc,85 hp,4.2 lt,Tamamı orjinal,Tramer tutarı yok,165 km/s,675.000 TL
30 Kasım 2023,Renault,Symbol,1.5 dCi Expression,2009,183.000 km,Düz,Dizel,Sedan. 5 Koltuk,Gri (Gümüş),1461 cc,65 hp,4.5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,160 km/s,383.000 TL
30 Kasım 2023,Volkswagen,Transporter,2.5 TDI City Van,2006,400.000 km,Düz,Dizel,Camlı Van,Beyaz,2460 cc,130 hp,,2 boyalı,Tramer tutarı Belirtilmemiş,168 km/s,485.000 TL
30 Kasım 2023,Mercedes - Benz,CLA,200 AMG,2015,104.000 km,Otomatik,Benzin,Coupe,Siyah,1595 cc,156 hp,5.1 lt,Belirtilmemiş,Tramer tutarı yok,230 km/s,1.359.900 TL
